Fighter,Division,division_ranking,Birth_Date,Career_Record,Sig_Strikes_Thrown,Sig_Strikes_Landed,Sig_Strikes_Absorbed,Takedowns_Attempted,Takedowns_Successful,Takedowns_Defended,Sub_Attempts,Sub_Attempts_Defended,Knockdowns,Knockdowns_Received,Control_Time_Seconds,Time_Controlled_Seconds,height_inches,reach_inches,win,loss,draws,win_kotko,win_sub,win_decision,loss_kotko,loss_sub,loss_decision,Fight_Duration_Seconds,significant_strikes_attempted_against,takedowns_attempted_against,takedowns_allowed,submission_attempts_against,Number_of_Fights_36m,Dates_36m,picture_url,ufcstats_url
Tom Aspinall,Heavyweight,0,11-04-1993,15-3-0 (1 NC),90,64,40,1,0,0,0,0,3,0,20,0,77,78,3,0,0,3,0,0,0,0,0,119,73,0,0,0,4,"25-10-2025:787bb1f087ccff8a:NC,27-07-2024:fa6796c55d6c5440:W,11-11-2023:f14cf73e51b29254:W,22-07-2023:c9cf753cfdf77fc2:W",img/tom_aspinall.png,http://ufcstats.com/fighter-details/399afbabc02376b5
Alexander Volkov (Drago),Heavyweight,2,24-10-1988,39-11-0,400,239,126,5,3,5,2,2,1,0,604,882,79,80,3,1,0,0,1,2,0,0,1,819,272,14,9,2,4,"25-10-2025:41e83a89929d1327:W,07-12-2024:787bb1f087ccff8a:L,22-06-2024:f14cf73e51b29254:W,09-09-2023:c62fbc117d57b943:W",img/alexander_volkov_drago.png,http://ufcstats.com/fighter-details/279566840aa55bf2
Sergei Pavlovich,Heavyweight,3,13-05-1992,20-3-0,419,169,169,6,2,1,0,0,1,1,402,2,75,84,3,2,0,1,0,2,1,0,1,591,401,1,0,0,5,"23-08-2025:fc08099550072fe4:W,01-02-2025:2cd428e9606856fd:W,22-06-2024:279566840aa55bf2:L,11-11-2023:399afbabc02376b5:L,22-04-2023:fa6796c55d6c5440:W",img/sergei_pavlovich.png,http://ufcstats.com/fighter-details/f14cf73e51b29254
Curtis Blaydes (Razor),Heavyweight,4,18-02-1991,19-5-0 (1 NC),187,91,96,16,2,4,0,0,0,2,330,320,76,80,2,2,0,1,0,1,2,0,0,371,215,13,9,0,4,"21-06-2025:739fd4fbb5d862f4:W,27-07-2024:399afbabc02376b5:L,09-03-2024:41e83a89929d1327:W,22-04-2023:f14cf73e51b29254:L",img/curtis_blaydes.png,http://ufcstats.com/fighter-details/fa6796c55d6c5440
Ciryl Gane (Bon Gamin),Heavyweight,1,12-04-1990,13-2-0 (1 NC),257,182,77,4,2,3,2,1,0,0,229,274,76,81,2,0,0,1,0,1,0,0,0,566,154,6,3,1,3,"25-10-2025:399afbabc02376b5:NC,07-12-2024:279566840aa55bf2:W,02-09-2023:e2f6b2769aaedd6c:W",img/ciryl_gane.png,http://ufcstats.com/fighter-details/787bb1f087ccff8a
Jailton Almeida (Malhadinho),Heavyweight,,26-06-1991,22-5-0,176,107,119,50,25,2,7,0,0,0,2704,766,75,79,4,3,0,1,2,1,1,0,2,614,215,3,1,0,7,"07-02-2026:739fd4fbb5d862f4:L,25-10-2025:279566840aa55bf2:L,18-01-2025:e2f6b2769aaedd6c:W,01-06-2024:c0badf3243907e59:W,09-03-2024:fa6796c55d6c5440:L,04-11-2023:d3df1add9d9a7efb:W,13-05-2023:2cd428e9606856fd:W",img/jailton_almeida.png,http://ufcstats.com/fighter-details/41e83a89929d1327
Jairzinho Rozenstruik (Bigi Boy),Heavyweight,,17-03-1988,15-6-0,456,235,88,1,0,7,0,0,0,0,2,839,74,78,2,2,0,1,0,1,0,1,1,805,261,11,4,1,4,"01-02-2025:f14cf73e51b29254:L,17-08-2024:c62fbc117d57b943:W,02-03-2024:6747ccd6d1acd266:W,13-05-2023:41e83a89929d1327:L",img/jairzinho_rozenstruik.png,http://ufcstats.com/fighter-details/2cd428e9606856fd
Marcos Rogerio de Lima (Pezao),Heavyweight,,25-06-1985,22-10-1,123,93,110,10,4,1,0,0,1,1,507,63,73,75,2,1,0,1,0,1,1,0,0,435,210,1,0,0,3,"17-02-2024:c15fa95b9a12fde4:W,29-07-2023:d3df1add9d9a7efb:L,29-04-2023:fc08099550072fe4:W",img/marcos_rogerio_de_lima.png,http://ufcstats.com/fighter-details/ab943cd2c3c17825
Marcin Tybura (Tybur),Heavyweight,8,09-11-1985,27-10-0,273,131,119,9,3,0,1,0,0,2,784,306,75,78,3,3,0,1,1,1,2,1,0,341,249,2,2,1,6,"06-09-2025:7d8435c56043b0ae:L,22-03-2025:0d5cc0170c1a7e71:W,16-11-2024:25f9a5f3e8a52618:W,10-08-2024:e2f6b2769aaedd6c:L,16-03-2024:c62fbc117d57b943:W,22-07-2023:399afbabc02376b5:L",img/marcin_tybura.png,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2
Rodrigo Nascimento (Ze Colmeia),Heavyweight,,26-11-1992,11-3-0 (1 NC),438,196,214,4,1,13,0,1,0,1,427,925,74,80,2,2,0,0,0,2,1,0,1,837,403,22,9,1,4,"02-11-2024:c0badf3243907e59:L,11-05-2024:d3df1add9d9a7efb:L,04-11-2023:1a9480fc288e55d7:W,20-05-2023:e9a3aeb207578eea:W",img/rodrigo_nascimento.png,http://ufcstats.com/fighter-details/d31a5546c0e9b213
