Tipo_Encuentro,Codigo_A,Apodo_A,Score_AT_A,Score_ANT_A,Score_PT_A,Score_PNT_A,Codigo_B,Apodo_B,Score_AT_B,Score_ANT_B,Score_PT_B,Score_PNT_B,Delta_BASE_ponderado,Dominante,Intensidad,Prediccion_Breve,Zona_Clave,Tactica_A,Tactica_B,Descripcion_Choque
Basico vs Basico,ANT,El Depredador,0.0,1.0,0.0,0.0,ANT,El Depredador,0.0,1.0,0.0,0.0,0.0,Parejo,Parejo,Combate equilibrado entre El Depredador y El Depredador.,Claves en Zona de búsqueda vs Zona de búsqueda,El Depredador presionará desde la zona de búsqueda con actividad,El Depredador presionará desde la zona de búsqueda con actividad,"Choque entre El Depredador y El Depredador, donde el depredador presionará desde la zona de búsqueda con actividad mientras el depredador presionará desde la zona de búsqueda con actividad."
Basico vs Basico,ANT,El Depredador,0.0,1.0,0.0,0.0,AT,El Estratega,1.0,0.0,0.0,0.0,0.05,A,Ventaja ligera A,Ligera ventaja para El Depredador.,Claves en Zona de búsqueda vs Zona de decisión,El Depredador presionará desde la zona de búsqueda con actividad,El Estratega buscará imponer técnica en zona de decisión,"Choque entre El Depredador y El Estratega, donde el depredador presionará desde la zona de búsqueda con actividad mientras el estratega buscará imponer técnica en zona de decisión."
Basico vs Basico,ANT,El Depredador,0.0,1.0,0.0,0.0,PNT,El Escudo,0.0,0.0,0.0,1.0,0.1,A,Ventaja amplia A,Ligera ventaja para El Depredador.,Claves en Zona de búsqueda vs Zona de acción,El Depredador presionará desde la zona de búsqueda con actividad,El Escudo se mantendrá defensivo en zona retrasada,"Choque entre El Depredador y El Escudo, donde el depredador presionará desde la zona de búsqueda con actividad mientras el escudo se mantendrá defensivo en zona retrasada."
Basico vs Basico,ANT,El Depredador,0.0,1.0,0.0,0.0,PT,El Francotirador,0.0,0.0,1.0,0.0,0.2,A,Ventaja amplia A,Ligera ventaja para El Depredador.,Claves en Zona de búsqueda vs Zona de control,El Depredador presionará desde la zona de búsqueda con actividad,El Francotirador esperará en zona de control con precisión,"Choque entre El Depredador y El Francotirador, donde el depredador presionará desde la zona de búsqueda con actividad mientras el francotirador esperará en zona de control con precisión."
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,ANT+AT,El Vendaval,0.4,0.6,0.0,0.0,0.02,A,Parejo,Combate equilibrado entre El Depredador y El Vendaval.,"Claves en Zona de búsqueda vs Zona de búsqueda, Zona de decisión",El Depredador presionará desde la zona de búsqueda con actividad,El Vendaval presionará desde la zona de búsqueda con actividad y El Vendaval buscará imponer técnica en zona de decisión,"Choque entre El Depredador y El Vendaval, donde el depredador presionará desde la zona de búsqueda con actividad mientras el vendaval presionará desde la zona de búsqueda con actividad y el vendaval buscará imponer técnica en zona de decisión."
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,AT+ANT,El Huracán,0.6,0.4,0.0,0.0,0.03,A,Parejo,Combate equilibrado entre El Depredador y El Huracán.,"Claves en Zona de búsqueda vs Zona de decisión, Zona de búsqueda",El Depredador presionará desde la zona de búsqueda con actividad,El Huracán buscará imponer técnica en zona de decisión y El Huracán presionará desde la zona de búsqueda con actividad,"Choque entre El Depredador y El Huracán, donde el depredador presionará desde la zona de búsqueda con actividad mientras el huracán buscará imponer técnica en zona de decisión y el huracán presionará desde la zona de búsqueda con actividad."
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,0.07,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de decisión, Zona de acción",El Depredador presionará desde la zona de búsqueda con actividad,El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,"Choque entre El Depredador y El Guardián, donde el depredador presionará desde la zona de búsqueda con actividad mientras el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada."
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,0.11,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de decisión, Zona de control",El Depredador presionará desde la zona de búsqueda con actividad,El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,"Choque entre El Depredador y El Cirujano, donde el depredador presionará desde la zona de búsqueda con actividad mientras el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión."
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,PNT+AT,El Bastión Técnico,0.4,0.0,0.0,0.6,0.08,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de acción, Zona de decisión",El Depredador presionará desde la zona de búsqueda con actividad,El Bastión Técnico se mantendrá defensivo en zona retrasada y El Bastión Técnico buscará imponer técnica en zona de decisión,"Choque entre El Depredador y El Bastión Técnico, donde el depredador presionará desde la zona de búsqueda con actividad mientras el bastión técnico se mantendrá defensivo en zona retrasada y el bastión técnico buscará imponer técnica en zona de decisión."
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,PT+AT,El Maestro del Pulso,0.4,0.0,0.6,0.0,0.14,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de control, Zona de decisión",El Depredador presionará desde la zona de búsqueda con actividad,El Maestro del Pulso esperará en zona de control con precisión y El Maestro del Pulso buscará imponer técnica en zona de decisión,"Choque entre El Depredador y El Maestro del Pulso, donde el depredador presionará desde la zona de búsqueda con actividad mientras el maestro del pulso esperará en zona de control con precisión y el maestro del pulso buscará imponer técnica en zona de decisión."
