CA,AA,CB,AB,DOM,INT,PRED,ZA,ZB,TA,TB,AT
ANT,El Depredador,ANT,El Depredador,=,=,@EQUIL El Depredador y El Depredador.,@ZK_B,@ZK_B,El Depredador @ZB_ACT,El Depredador @ZB_ACT,
ANT,El Depredador,AT,El Estratega,A,VL,@VENT_LIG El Depredador.,@ZK_B,@ZK_D,El Depredador @ZB_ACT,El Estratega @ZD_TEC,
ANT,El Depredador,PNT,El Escudo,A,VA,@VENT_LIG El Depredador.,@ZK_B,@ZK_A,El Depredador @ZB_ACT,El Escudo @ZR_DEF,
ANT,El Depredador,PT,El Francotirador,A,VA,@VENT_LIG El Depredador.,@ZK_B,@ZK_C,El Depredador @ZB_ACT,El Francotirador @ZC_PREC,
ANT,El Depredador,ANT+AT,El Vendaval,A,=,@EQUIL El Depredador y El Vendaval.,@ZK_B,"@ZK_B, @ZK_D",El Depredador @ZB_ACT,El Vendaval @ZB_ACT y El Vendaval @ZD_TEC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
ANT,El Depredador,AT+ANT,El Huracán,A,=,@EQUIL El Depredador y El Huracán.,@ZK_B,"@ZK_D, @ZK_B",El Depredador @ZB_ACT,El Huracán @ZD_TEC y El Huracán @ZB_ACT,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
ANT,El Depredador,AT+PNT,El Guardián,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_D, @ZK_A",El Depredador @ZB_ACT,El Guardián @ZD_TEC y El Guardián @ZR_DEF,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
ANT,El Depredador,AT+PT,El Cirujano,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_D, @ZK_C",El Depredador @ZB_ACT,El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
ANT,El Depredador,PNT+AT,El Bastión Técnico,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_A, @ZK_D",El Depredador @ZB_ACT,El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
ANT,El Depredador,PT+AT,El Maestro del Pulso,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_C, @ZK_D",El Depredador @ZB_ACT,El Maestro del Pulso @ZC_PREC y El Maestro del Pulso @ZD_TEC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
